"Africa","Algeria","Algiers","+003:03:34","+36:46:31","99","+03600","+03600"
"Africa","Angola","Luanda","+013:13:50","-08:48:57","99","+03600","+03600"
"Africa","Benin","Cotonou","+002:25:59","+06:21:01","99","+03600","+03600"
"Africa","Benin","Porto Novo","+002:37:56","+06:28:40","99","+03600","+03600"
"Africa","Botswana","Gaborone","+025:54:32","+24:39:25","99","+07200","+07200"
"Africa","Burkina Faso","Ouagadougou","-001:32:06","+12:21:24","99","+00000","+00000"
"Africa","Burundi","Bujumbura","+029:21:44","-03:22:54","99","+07200","+07200"
"Africa","Cameroon","Douala","+009:41:51","+04:02:40","99","+03600","+03600"
"Africa","Cameroon","Yaounde","+011:31:18","+03:51:40","99","+03600","+03600"
"Africa","Canary Islands","Las Palmas de Gran Canaria","-015:25:48","+28:07:29"," 0","+00000","+03600"
"Africa","Canary Islands","Santa Cruz de Tenerife","-016:15:17","+28:28:11"," 0","+00000","+03600"
"Africa","Cape Verde","Praia","-023:30:55","+14:55:10","99","-03600","-03600"
"Africa","Central African Republic","Bangui","+021:38:26","+05:37:50","99","+03600","+03600"
"Africa","Chad","N'Djamena","+012:06:43","+15:02:07","99","+03600","+03600"
"Africa","Comoros","Moroni","+043:14:28","-11:42:01","99","+10800","+10800"
"Africa","Congo","Kinshasa","+015:19:37","-04:20:12","99","+03600","+03600"
"Africa","Cote d'Ivoire","Abidjan","-004:01:49","+05:19:55","99","+00000","+00000"
"Africa","Cote d'Ivoire","Yamoussoukro","-005:17:58","+06:50:21","99","+00000","+00000"
"Africa","Djibouti","Djibouti","+042:35:24","+11:49:30","99","+10800","+10800"
"Africa","Egypt","Alexandria","+029:56:39","+31:12:48"," 0","+07200","+10800"
"Africa","Egypt","Aswan","+032:24:27","+24:05:31"," 0","+07200","+10800"
"Africa","Egypt","Cairo","+031:13:37","+30:03:25"," 0","+07200","+10800"
"Africa","Equatorial Guinea","Malabo","+008:46:26","+03:45:08","99","+03600","+03600"
"Africa","Eritrea","Asmara","+038:55:05","+15:19:53","99","+10800","+10800"
"Africa","Ethiopia","Addis Ababa","+038:45:33","+09:00:41","99","+10800","+10800"
"Africa","Gabon","Libreville","+009:26:58","+00:23:08","99","+03600","+03600"
"Africa","Gambia","Banjul","-016:40:39","+13:26:23","99","+00000","+00000"
"Africa","Ghana","Accra","-000:12:26","+05:32:24","99","+00000","+00000"
"Africa","Guinea","Conakry","-013:40:42","+09:32:13","99","+00000","+00000"
